 system:index,ECF_year_area_ha,ECF_year_area_km2,hansen_year_area_ha,hansen_year_area_km2,year,.geo
0,217912.75,2179.13,2183560.26,21835.6,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,275155.36,2751.55,2371529.67,23715.3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,293106.48,2931.06,1732429.52,17324.3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,237354.7,2373.55,3494677.47,34946.77,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,246285.15,2462.85,2805868.33,28058.68,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,249047.02,2490.47,3374465.21,33744.65,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,281468.78,2814.69,3976852.68,39768.53,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,287118.6,2871.19,4690113.93,46901.14,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,236754.74,2367.55,3709892.84,37098.93,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,246689.02,2466.89,3865433.2,38654.33,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,182053.1,1820.53,3512052.32,35120.52,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,302710.33,3027.1,4271875.3,42718.75,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,313006.31,3130.06,3257709.84,32577.1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,265656.2,2656.56,3503186.97,35031.87,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,293502.48,2935.02,2746607.16,27466.07,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,265428.66,2654.29,3807818.12,38078.18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,271814.34,2718.14,3706197.15,37061.97,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,314170.27,3141.7,2781320.42,27813.2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,251143.59,2511.44,2585650.06,25856.5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,225091.32,2250.91,2278002.37,22780.02,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
